entity	alias
Q46889	Zebu
Q46889	Bos taurus indicus (as a subspecies of domesticated cattle)
Q46889	Humped cattle
Q46889	Indicine cattle
Q47055	Musk Orchid
Q47109	Calidris subruficollis
Q35076	Moray eel family
Q35223	Pacific Pocket Mouse
Q35255	mountain lion
Q35255	puma
Q35255	panther
Q35255	catamount
Q35255	Puma concolor
Q36101	Phascolarctos cinereus
Q47328	cricket family
Q47328	Cricky
Q47328	true crickets
Q47501	Ramphastos sulfuratus
Q20862	Tethytheridae
Q20863	Common pond skater
Q20863	Common pondskater
Q20863	Common water strider
Q20868	Ostentoria
Q20869	Blatta orientalis
Q20944	Adrorhizon purpurascens
Q20944	Adrorhizinae
Q20946	Neippergia
Q18858	Numenius phaeopus
Q18859	redshank
Q18859	Tringa totanus
Q5113	Aves
Q21188	Laures
Q21190	Dor beetle
Q21659	Gallinaceous birds
Q21659	Galliforms
Q21659	Gamebirds
Q21659	Gamefowl
Q21666	the loon family
Q36050	the willow genus
Q36125	Lady of the night
Q36125	Night-blooming cestrum
Q36125	Night-blooming jasmine
Q36135	Neofelis nebulosa
Q22364	chipmunk
Q22364	young chip
Q47109	Tryngites subruficollis
Q47161	Crab Apple
Q47328	Cricket
Q47328	Crickets
Q22671	beetles
Q36071	pistachio
Q36071	the pistachio tree
Q19737	Hericium erinaceus
Q19737	Lion's Mane
Q19737	Yamabushitake
Q19740	cep mushroom
Q19740	penny bun
Q19740	porcini
Q19740	porcino
Q19939	Panthera tigris
Q20595	Dermacentor marginatus
Q20595	spring forest tick
Q20634	True Vine
Q20634	Noble Vine
Q20640	Ambuchananiales
Q20693	Tabanus sudeticus
Q20740	Bucerotes
Q20820	Roundleaved orchid
Q20820	Roundlleaved orchis
Q20820	Small round-leaved orchis
Q20820	Small roundleaved orchid
Q20820	Small roundleaved orchis
Q20821	Adamantinia miltonioides
Q20844	Aphyllorchis
Q20848	Leopard orchid
Q20848	African ansellia
Q20848	Aslla
Q20851	Dytiscus marginalis
Q18850	Actitis hypoleucos
Q18851	Charadrius dubius
Q20747	Chorthippus parallelus
Q20778	Anthe-matricaria gruetteriana
Q20778	Corn Chamomile
Q20778	Field chamomile
Q20778	Matricaria inodora
Q20778	Mayweed
Q20809	Aeranthus
Q20809	Aerth
Q20810	Barombia
Q20810	Aergs
Q20810	Radinocion
Q18875	Sterna hirundo
Q36154	Cassia tree
Q36154	Cassod tree
Q36154	Kassod tree
Q36177	Cat's Hair Asthma Plant
Q36177	Common Spurge
Q36197	Scaly-breasted Munia
Q47722	Broccoli
Q47722	Brassica oleracea var. italica
Q22858	Savoury
Q22701	Elder
Q22701	Sambucus mexicana
Q22701	Sabugueiro
Q22701	Black Elder
Q22701	Black elderberry
Q22701	Common Elder
Q22701	European black elderberry
Q22701	European Elder
Q22701	European Elderberry
Q47532	robusta
Q47542	beaver
Q47542	Castoridae
Q18876	Calidris tenuirostris
Q18922	Pachycoccyx audeberti
Q18923	Coccyzus minor
Q18926	Coccyzus merlini
Q18926	Saurothera merlini
Q18928	Seychelles fruit bat
Q18929	Madagascan flying fox
Q18952	bristle worms
Q20955	Acriopsidinae
Q20956	Anguloa
Q20958	Ipswich clam
Q20958	Piss clam
Q20958	Piss-clam
Q20958	Soft clam
Q20958	soft-shell clam
Q20958	Softshell clam
Q20958	Steamer clam
Q36146	Fig
Q36146	common fig
Q36146	fig plant
Q36341	brown bear
Q106728	Megachasma pelagios
Q22671	beetle
Q36396	rats
Q36396	the rat genus
Q22712	Asian Wild Horse
Q22712	Mongolian Wild Horse
Q22712	Chernobyl horses
Q22712	Dzungarian Horse
Q22712	Przevalsky's Horse
Q22712	Przewalski horse
Q22712	Przewalski's wild horse
Q22712	Takhi
Q48186	king cobra
Q18958	Saurothera vieilloti
Q18960	sponges
Q47801	Honeydew melon
Q47801	honeymelon
Q47801	Inodorus Group
Q47859	mint
Q18966	Sweet corn
Q18969	Bicknell’s thrush
Q18969	Catharus bicknelli
Q18987	Antarctic skua
Q18987	Antarctic Skua
Q18987	Hākoakoa
Q18987	Southern Great Skua
Q18987	Southern skua
Q18987	Southern Skua
Q18987	Stercorarius antarcticus
Q18987	Subantarctic Skua
Q22718	Ambystoma mexicanum
Q22718	Mexican Salamander
Q22718	Mexican walking fish
Q47867	armadillos
Q47867	Dasypodidae
Q105415	snowdrops
Q106094	parasol pine
Q106094	umbrella pine
Q106133	Black rat
Q53468	Rampion
Q53470	figwort
Q53473	Scrophulariaceae by common name
Q53475	Acanthus family
Q53476	Labiatae
Q53636	frog order
Q53663	the salamanders
Q53696	Hylid
Q53696	Tree frog
Q104212	common hop
Q104212	hop
Q48431	Macheiramphus alcinus
Q48681	Broad-billed Sandpiper
Q106345	the Ciliates
Q48188	Stinkhorn
Q48191	requiem sharks
Q108235	dormouse
Q108684	Sweet Violet
Q107394	Mock orange
Q107417	noble orchid
Q107588	Hominini
Q104819	crabapple
Q104819	the Apples
Q48730	Asthenes vilcabambae
Q48918	Selachimorpha
Q48918	sharks
Q49391	ornamental onion
Q49664	Periodical cicada
Q49731	Monotropaceae
Q49732	Pyroloideae
Q49733	Pirolaceae
Q49855	wasabi
Q49855	Japanese horseradish
Q49855	Wasabia japonica
Q50863	Callicebus vieirai
Q50863	Vieira's titi
Q51148	Allium schoenoprasum
Q53462	Macropus rufud
Q23121	Mungos mungo
Q23175	wombat family
Q23193	Kangaroo
Q23254	Burramyidae
Q23340	Tenrecidae
Q23390	cervids
Q23390	raghorn
Q23390	true deer
Q23400	the garlic plant
Q22708	flying insect
Q22708	flying insects
Q22708	Pterygote
Q22708	Pterygotes
Q22708	Pterygotous
Q22708	winged insect
Q22708	winged insects
Q36557	African elephant
Q36557	Loxodonta africana
Q132585	Asian wild dog
Q132585	Asiatic wild dog
Q132585	C. alpinus
Q132585	Cuon alpinus
Q48334	Chulta
Q48334	Elephant apple
Q48392	Banded neolebias
Q48406	Large Blue
Q22858	savory
Q37083	olive tree
Q36611	gorilla genus
Q18956	Chrysococcyx cupreus
Q18958	Coccyzus vieilloti
Q47910	great Indian rhinoceros
Q47910	greater one-horned rhinoceros
Q47910	Indian one-horned rhinoceros
Q47910	Rhinoceros unicornis
Q47945	Red-tailed rattle snake
Q37383	the groundnut plant
Q37383	the peanut plant
Q132614	Attenborough's pitcher planta
Q132624	Cuminum cyminum
Q37686	chameleon family
Q37153	avocado
Q37153	the avocado tree
Q111185	Ferula asafoetida
Q132576	Aepyceros melampus
Q23425	cucumber plant
Q23425	gherkin plant
Q111674	Corvus macrorhynchos
Q111846	Tolypeutes tricinctus
Q112045	Andrias japonicus
Q58697	pig
Q58697	boar
Q58697	wild boar
Q132669	Bubulcus ibis
Q23351	golden mole family
Q23351	gouemolle
Q23363	Asian royal fern
Q23363	Japanese flowering fern
Q23363	Japanese royal fern
Q23366	Murray cod
Q23366	Murray River cod
Q23367	Prototroctes maraena
Q23370	toothbrush tree
Q23370	khoi
Q23370	serut
Q23370	Siamese rough bush
Q23390	deer
Q23390	deer family
Q109196	bergamot orange tree
Q109196	Citrus bergamia
Q109995	Snowdrop
Q107920	radiolarian
Q108235	Myoxidae
Q23485	onion plant
Q113654	Dorcopsis atrata
Q113973	White-bellied goshawk
Q113999	Henstis goshawk
Q113999	Henstís goshawk
Q114008	Accipiter brachyurus
Q114015	Accipiter francesiae
Q114015	Accipiter francesii
Q114022	Accipiter chilensis
Q19027	Coccyzus erythropthalmus
Q19055	Lagopus leucura
Q19056	Canada Grouse
Q19056	Dendragapus canadensis
Q19056	Falcipennis canadensis
Q19056	Spruce grouse
Q111346	Field Bindweed
Q37453	Apricot
Q109995	Common snowdrop
Q110577	Coregonus clupeaformis
Q110727	Kha-nyou
Q110727	Laonastes aenigmamus
Q23637	Ugly Milk-cap
Q132514	Star cactus
Q132557	thornapple
Q132557	hawberry
Q132557	hawthorn
Q132319	Chlamydophila pneumoniae
Q132329	Rhagoletis pomonella
Q132340	plasterer bees
Q132340	polyester bees
Q37212	lemurs
Q23501	tomato plant
Q55477	Ascaphidae
Q55805	Diomedeidae
Q55805	gooney bird
Q55805	goonie bird
Q55805	mollymawk
Q56057	Microhyidae
Q56062	Scaphiopodidae
Q56888	Montifringilla adamsi
Q56896	Nectarinia johnstoni
Q56899	Estrilda charmosyna
Q53731	Platycercus adelaidae
Q53731	Platycercus elegans
Q53745	American harpy Eagle
Q53745	harpy eagle
Q53750	ครอบครัวกบโผ
Q53752	Glass frog family
Q54696	Collared dove
Q54696	Streptopelia decaocto
Q24843	Calandrella brachydactyla
Q24843	Greater short toed lark
Q24843	Short-toed lark
Q25062	common rue
Q25062	Herb-of-grace
Q25062	herbygrass
Q25062	rue
Q37937	Ipomoea batatas
Q114893	Cepaea nemoralis
Q114937	Saguinus imperator
Q114994	Streptopelia hypopyrrha
Q115045	Pangio kuhlii
Q132653	floss flower
Q132734	buckwheat plant
Q132394	Northern Sierra Madre forest monitor
Q132429	Guttiferae
Q55307	Disc-Tongued Frogs
Q55332	black lemur
Q55332	common black lemur
Q55364	Brevicipitidae
Q55372	the true toads
Q55464	subfamily Cycloramphinae
Q55470	ghost frogs
Q55472	Hemisus
Q114477	Australian King Parrot
Q114500	Accipiter erythropus
Q114512	Accipiter erythrauchen
Q114516	Heteropoda maxima
Q114521	Semicollared hawk
Q114715	Accipiter fasciatus
Q114170	Accipiter cirrocephalus
Q114170	Australian collared sparrow hawk
Q114264	Kola nut
Q114338	Levant sparrowhawk
Q114429	Gundlach's hawk
Q38584	Canis lupus dingo
Q112941	Onychogalea unguifera
Q112964	Phaeosphaeria avenaria f. sp. triticae
Q113125	Drymophila ferruginea
Q113218	Streptopelia decipiens
Q113224	Tiger salamander
Q113297	Latrodectus mactans
Q37668	Atlantic lobster
Q37668	Homarus americanus
Q24336	Allosmaitia pion
Q24336	Polyommatus strophius
Q24336	Strophius Hairstreak
Q24336	Thecla pion
Q24336	Thecla scoteia
Q24342	Bordered White
Q24342	Pine Looper
Q24380	Fynbos aloe
Q24477	Acanthoceras
Q24477	Ceramothamnion
Q24477	Episperma
Q24477	Hormoceras
Q24505	Deltote uncula
Q24505	silver hook
Q24753	Chilo verellus
Q24753	Teras radiolana
Q24818	Blesbuck
Q24818	Damaliscus albifrons
Q24818	Damaliscus pygargus phillipsi
Q59217	Lithobates capito
Q59217	Gopher Frog
Q59219	Systomus partipentazona
Q59235	Asian frog
Q59235	Rana asiatica
Q58958	Calidris alba
Q59066	Glossolepis incisus
Q59141	Ant
Q59237	Rana aurora
Q59239	Amur brown frog
Q59239	Rana amurensis
Q59256	the brittle stars
Q59277	Rana boylii
Q59316	Rana cascadae
Q59472	Microcarbo coronatus
Q59472	Phalacrocorax coronatus
Q25237	pea plant
Q25234	Blackbird
Q23907	Acinonyx Jubatus
Q23907	African Cheetah
Q23907	Felis lanea
Q23907	Geopard
Q23907	White cheetah
Q23907	Woolly cheetah
Q58904	Geopelia cuneata
Q58921	Calidris temminckii
Q23927	Bach's calicoflower
Q23933	bog laurel
Q23933	alpine laurel
Q23933	swamp-laurel
Q23933	western bog-laurel
Q23933	western laurel
Q24000	Hypocalypteae
Q24063	Coltsfoot Rust gall
Q24063	Meadow Grass Rust
Q24095	Symmetrocladia
Q24132	Ennomos erosarius
Q24132	September Thorn
Q24135	Ennomos autumnarius
Q24135	Large Thorn
Q24268	Aecidium anchusae
Q24268	Aecidium aquilegiae
Q24268	Aecidium asperifolii
Q24268	Aecidium clematidis
Q24268	Aecidium hellebori
Q24268	Aecidium thalictri
Q24268	Pleomeris agropyrina
Q24268	Pleomeris bromina
Q24268	Pleomeris dispersa
Q24268	Pleomeris perplexans
Q24268	Pleomeris persistens
Q24268	Pleomeris triticina
Q24268	Puccinia agropyri
Q24268	Puccinia agropyrina
Q24268	Puccinia asperifolii
Q24268	Puccinia borealis
Q24268	Puccinia bromina
Q24268	Puccinia dispersa
