entity	taxon_common_name
Q9360158	sphagnum
Q11862367	sphagnum
Q11871047	sphagnum
Q11873661	sphagnum
Q11900054	sphagnum
Q15565185	Santa Maria
Q17258304	sphagnum
Q17258394	sphagnum
Q17258681	sphagnum
Q17258699	sphagnum
Q17260205	sphagnum
Q17261004	sphagnum
Q17261038	sphagnum
Q17261681	sphagnum
Q17261793	sphagnum
Q17262151	sphagnum
Q17262500	sphagnum
Q17262603	sphagnum
Q17262735	sphagnum
Q17263733	sphagnum
Q17264340	sphagnum
Q25133702	simpleleaf chastetree
Q25133723	simpleleaf chastetree
Q44327	Woolly-necked Stork
Q45586	Western pocket gopher
Q45586	Western Pocket Gopher
Q46144	Yellow-bellied Weasel
Q58921	Temminck's Stint
Q59239	Siberian Wood Frog
Q59277	Yellow-legged Frog
Q63911	Rufous-naped Wren
Q65031	White-tailed Skimmer
Q73344	Scaly-crowned Babbler
Q73714	Velvet-fronted Nuthatch
Q73839	Sunda Forktail
Q73888	White-breasted Babbler
Q73888	White-breasted Tree-babbler
Q75070	Southern three-banded armadillo
Q75070	Southern Three-banded Armadillo
Q76280	Tench
Q76971	Silver birch
Q76971	White birch
Q80198	Rednose labeo
Q80198	Rednose mudsucker
Q80198	Sailfin mudsucker
Q80329	Rednose Labeo
Q80378	Whale shark
Q80378	Whale Shark
Q1499241	Silver birch
Q1543680	White birch
Q25761	Shelduck
Q33115	common mare's-tail
Q33261	Ocelot
Q33482	Oriental Arbor-vitae
Q33482	Oriental arborvitae
Q33609	Polar bear
Q33609	Polar Bear
Q35517	Elk
Q35517	Eurasian elk
Q35517	Eurasian Elk
Q35517	Eurasian Moose
Q35517	European Elk
Q35517	Moose
Q35517	Siberian Elk
Q35625	garden ginger
Q36341	Brown Bear
Q36341	Grizzly Bear
Q36341	Mexican Grizzly Bear
Q37083	olive
Q37083	olive tree
Q37453	apricot
Q38584	Dingo
Q39634	netleaf willow
Q39708	purpleosier willow
Q39918	sweet almond
Q40678	Alabama Map Turtle
Q41489	Changeable lizard
Q41611	coriander
Q41960	Lesser Panda
Q41960	Red Cat-bear
Q41960	Red panda
Q41960	Red Panda
Q42339	kidney bean
Q42623	Jungle cat
Q42623	Jungle Cat
Q42623	Reed Cat
Q42623	Swamp Cat
Q43208	Bourlon's Genet
Q43208	Bourlon’s Genet
Q43652	Meier's Skink
Q44154	Shortjaw Kokopu
Q44154	Shortjawed Kokopu
Q44226	Brown Mudfish
Q44226	Hauhau
Q44226	Mud Eel
Q44226	Spring Eel
Q44327	Asian Woollyneck
Q45586	Mazama Pocket Gopher
Q45586	Puget Sound Pocket Gopher
Q46041	Dwarf Citharine
Q46148	African clawless otter
Q46148	African Clawless Otter
Q46148	Cape Clawless Otter
Q47945	Arboreal Rat Snake
Q47945	Red-tailed Green Ratsnake
Q47945	Red-Tailed Racer
Q48334	chulta
Q54776	Victoria Robber
Q132039	bay
Q177932	rape
Q180404	Elk
Q203572	Doctor
Q296910	olive
Q308753	Tree frog
Q311059	Serra
Q629332	Mud Eel
Q765930	attorney
Q836291	Maleo
Q917735	Tree frog
Q1327089	Doctor
Q1752862	coriander
Q1946641	Tree frog
Q2112320	Moose
Q2236628	Kingston
Q2242488	Tree frog
Q2367663	olive
Q2611571	Kingston
Q2706787	Tree frog
Q2707407	Tree frog
Q2792494	Mud Eel
Q2803709	Lawyer
Q3130138	Question Mark
Q3802466	Ellipse
Q5460865	Olive
Q5548735	Bulldog
Q5933507	Bulldog
Q6421896	Bulldog
Q10731891	Moose
Q14122092	Ayu
Q25117578	rape
Q56899	Black-cheeked Waxbill
Q56899	Red-rumped Waxbill
Q56903	Brown Sunbird
Q56903	Mangrove Sunbird
Q56903	Mouse-brown Sunbird
Q58393	Florida hopbush
